period,energy_price,reg_up_price,reg_down_price
1,22.0,4.0,3.0
2,20.0,3.5,3.0
3,19.0,3.0,3.5
4,18.0,3.0,4.0
5,19.0,3.5,4.0
6,24.0,5.0,3.5
7,38.0,9.0,3.0
8,52.0,12.0,3.0
9,60.0,11.0,4.0
10,45.0,7.0,7.0
11,32.0,5.0,9.0
12,26.0,4.0,10.0
13,18.0,4.0,12.0
14,-5.0,5.0,14.0
15,12.0,7.0,11.0
16,28.0,9.0,8.0
17,55.0,12.0,4.0
18,95.0,14.0,3.0
19,130.0,13.0,2.5
20,120.0,10.0,2.5
21,88.0,8.0,3.0
22,62.0,6.0,3.5
23,44.0,5.0,4.0
24,30.0,4.5,4.0
25,23.1,4.1,3.07
26,21.0,3.59,3.07
27,19.95,3.07,3.59
28,18.9,3.07,4.1
29,19.95,3.59,4.1
30,25.2,5.12,3.59
31,39.9,9.22,3.07
32,54.6,12.3,3.07
33,63.0,11.27,4.1
34,47.25,7.17,7.17
35,33.6,5.12,9.22
36,27.3,4.1,10.25
37,18.9,4.1,12.3
38,-5.25,5.12,14.35
39,12.6,7.17,11.27
40,29.4,9.22,8.2
41,57.75,12.3,4.1
42,99.75,14.35,3.07
43,136.5,13.32,2.56
44,126.0,10.25,2.56
45,92.4,8.2,3.07
46,65.1,6.15,3.59
47,46.2,5.12,4.1
48,31.5,4.61,4.1
49,21.56,3.96,2.97
50,19.6,3.46,2.97
51,18.62,2.97,3.46
52,17.64,2.97,3.96
53,18.62,3.46,3.96
54,23.52,4.95,3.46
55,37.24,8.91,2.97
56,50.96,11.88,2.97
57,58.8,10.89,3.96
58,44.1,6.93,6.93
59,31.36,4.95,8.91
60,25.48,3.96,9.9
61,17.64,3.96,11.88
62,-4.9,4.95,13.86
63,11.76,6.93,10.89
64,27.44,8.91,7.92
65,53.9,11.88,3.96
66,93.1,13.86,2.97
67,127.4,12.87,2.48
68,117.6,9.9,2.48
69,86.24,7.92,2.97
70,60.76,5.94,3.46
71,43.12,4.95,3.96
72,29.4,4.46,3.96
73,22.44,4.04,3.03
74,20.4,3.54,3.03
75,19.38,3.03,3.54
76,18.36,3.03,4.04
77,19.38,3.54,4.04
78,24.48,5.05,3.54
79,38.76,9.09,3.03
80,53.04,12.12,3.03
81,61.2,11.11,4.04
82,45.9,7.07,7.07
83,32.64,5.05,9.09
84,26.52,4.04,10.1
85,18.36,4.04,12.12
86,-5.1,5.05,14.14
87,12.24,7.07,11.11
88,28.56,9.09,8.08
89,56.1,12.12,4.04
90,96.9,14.14,3.03
91,132.6,13.13,2.52
92,122.4,10.1,2.52
93,89.76,8.08,3.03
94,63.24,6.06,3.54
95,44.88,5.05,4.04
96,30.6,4.54,4.04
97,24.2,4.2,3.15
98,22.0,3.68,3.15
99,20.9,3.15,3.68
100,19.8,3.15,4.2
101,20.9,3.68,4.2
102,26.4,5.25,3.68
103,41.8,9.45,3.15
104,57.2,12.6,3.15
105,66.0,11.55,4.2
106,49.5,7.35,7.35
107,35.2,5.25,9.45
108,28.6,4.2,10.5
109,19.8,4.2,12.6
110,-5.5,5.25,14.7
111,13.2,7.35,11.55
112,30.8,9.45,8.4
113,60.5,12.6,4.2
114,104.5,14.7,3.15
115,143.0,13.65,2.62
116,132.0,10.5,2.62
117,96.8,8.4,3.15
118,68.2,6.3,3.68
119,48.4,5.25,4.2
120,33.0,4.73,4.2
121,18.7,3.7,2.78
122,17.0,3.24,2.78
123,16.15,2.78,3.24
124,15.3,2.78,3.7
125,16.15,3.24,3.7
126,20.4,4.62,3.24
127,32.3,8.33,2.78
128,44.2,11.1,2.78
129,51.0,10.18,3.7
130,38.25,6.48,6.48
131,27.2,4.62,8.33
132,22.1,3.7,9.25
133,15.3,3.7,11.1
134,-4.25,4.62,12.95
135,10.2,6.48,10.18
136,23.8,8.33,7.4
137,46.75,11.1,3.7
138,80.75,12.95,2.78
139,110.5,12.03,2.31
140,102.0,9.25,2.31
141,74.8,7.4,2.78
142,52.7,5.55,3.24
143,37.4,4.62,3.7
144,25.5,4.16,3.7
145,17.16,3.56,2.67
146,15.6,3.12,2.67
147,14.82,2.67,3.12
148,14.04,2.67,3.56
149,14.82,3.12,3.56
150,18.72,4.45,3.12
151,29.64,8.01,2.67
152,40.56,10.68,2.67
153,46.8,9.79,3.56
154,35.1,6.23,6.23
155,24.96,4.45,8.01
156,20.28,3.56,8.9
157,14.04,3.56,10.68
158,-3.9,4.45,12.46
159,9.36,6.23,9.79
160,21.84,8.01,7.12
161,42.9,10.68,3.56
162,74.1,12.46,2.67
163,101.4,11.57,2.23
164,93.6,8.9,2.23
165,68.64,7.12,2.67
166,48.36,5.34,3.12
167,34.32,4.45,3.56
168,23.4,4.0,3.56
